iter	RMSE
0	0.3153714664
1	0.3139700564
2	0.3128713634
3	0.3120146158
4	0.3110094421
5	0.3098784707
6	0.3087851275
7	0.3080831357
8	0.307436034
9	0.3068488239
10	0.306190835
11	0.3052878321
12	0.3046469734
13	0.3039363073
14	0.3032786144
15	0.3025204237
16	0.3020304494
17	0.30108173
18	0.3007823381
19	0.3003585061
20	0.2998354045
21	0.299364553
22	0.2988620835
23	0.2982179937
24	0.2978909122
25	0.2973799597
26	0.2970256432
27	0.2966673545
28	0.2958624139
29	0.2952171563
30	0.2945993034
31	0.293950212
32	0.2936238313
33	0.2930633434
34	0.2927494015
35	0.2924199817
36	0.2919869617
37	0.2911945614
38	0.2909469841
39	0.2904067347
40	0.290113374
41	0.2898447346
42	0.2892928168
43	0.2890021988
44	0.2886760531
45	0.2880816796
46	0.2877070408
47	0.2871493801
48	0.2867626847
49	0.2862112741
50	0.2859663577
51	0.2857226662
52	0.285464117
53	0.2849219612
54	0.2845254046
55	0.2842894906
56	0.2840341979
57	0.2838146286
58	0.2833074881
59	0.282879276
60	0.2825532917
61	0.2821474815
62	0.2819307078
63	0.2813812882
64	0.2810145248
65	0.2808689659
66	0.2805803856
67	0.2801846892
68	0.279984332
69	0.2796978983
70	0.2792133653
71	0.2789334203
72	0.2787324869
73	0.2784450058
74	0.2783120693
75	0.2781078576
76	0.2778897716
77	0.2777458611
78	0.277265934
79	0.2771208518
80	0.2768003219
81	0.2765717223
82	0.2764729394
83	0.2759648544
84	0.2758048878
85	0.2755648514
86	0.2754699313
87	0.275205465
88	0.2750314641
89	0.274728249
90	0.2744825499
91	0.2742702408
92	0.2738249587
93	0.2736437335
94	0.2735604812
95	0.273144094
96	0.272961819
97	0.2728724798
98	0.2725616071
99	0.2722457635
100	0.2720143956
101	0.2715728185
102	0.2712579861
103	0.2711196933
104	0.2708031238
105	0.27056735
106	0.2704377479
107	0.2701668386
108	0.2699801492
109	0.2698150414
110	0.2694313935
111	0.2693886527
112	0.2691915609
113	0.2689131159
114	0.2687218683
115	0.2683056697
116	0.2681699514
117	0.2679852691
118	0.2675508316
119	0.2671403151
120	0.2668359418
121	0.2665075245
122	0.2662839409
123	0.2659988217
124	0.265827089
125	0.2655606783
126	0.2651499724
127	0.264692666
128	0.2644672775
129	0.2642884315
130	0.2638786317
131	0.2636253843
132	0.2633979013
133	0.2629494166
134	0.2627681863
135	0.2624281683
136	0.2622224237
137	0.2618418133
138	0.2614730714
139	0.2613642203
140	0.2611343363
141	0.260830567
142	0.2607063611
143	0.2606256106
144	0.2602955072
145	0.26004634
146	0.2598963903
147	0.2596323829
148	0.2593978845
149	0.2592057495
150	0.2591057266
151	0.2587630781
152	0.2586976615
153	0.2585709683
154	0.2584449805
155	0.2580910592
156	0.2580138579
157	0.257660433
158	0.2573703249
159	0.2570746471
160	0.2568336653
161	0.2567439045
162	0.2565415744
163	0.2563905696
164	0.256049956
165	0.2557617767
166	0.255556656
167	0.2554761628
168	0.2551192549
169	0.2549133273
170	0.2548376684
171	0.2547220472
172	0.2544447159
173	0.2542172065
174	0.2539953495
175	0.2536312783
176	0.253412262
177	0.2532440298
178	0.2527700162
179	0.2526146236
180	0.252446351
181	0.2521685211
182	0.2518737367
183	0.2516605761
184	0.2514255628
185	0.2512499199
186	0.2510409662
187	0.250812182
188	0.250595865
189	0.2505031678
190	0.2501663008
191	0.2498761966
192	0.2497294195
193	0.2496368808
194	0.2493956885
195	0.24922231
196	0.249110409
197	0.2489217476
198	0.2487937288
199	0.2485990527
200	0.2483301288
201	0.2481478226
202	0.2480061854
203	0.2477485872
204	0.2474567315
205	0.247243419
206	0.2470890239
207	0.2468348235
208	0.2467599102
209	0.2466221993
210	0.2464529585
211	0.2464081573
212	0.2462316369
213	0.246098462
214	0.246018538
215	0.2457112708
216	0.2455745334
217	0.2455054516
218	0.2454473272
219	0.2452986237
220	0.245175203
221	0.2450611429
222	0.2448428615
223	0.2447598128
224	0.2446936471
225	0.2446472426
226	0.2446239217
227	0.2445591489
228	0.2443718802
229	0.2441197415
230	0.2440360631
231	0.2437815276
232	0.243662742
233	0.2435540559
234	0.243499344
235	0.2434267703
236	0.2433277634
237	0.2432916411
238	0.2432248815
239	0.2431894493
240	0.2431529661
241	0.2430785287
242	0.2429968413
243	0.2429109345
244	0.2428248458
245	0.2425765878
246	0.2424892524
247	0.2424365481
248	0.2421744696
249	0.2420808607
250	0.2418659754
251	0.2415754624
252	0.2413724323
253	0.2412303795
254	0.2410443516
255	0.2407078194
256	0.2405363898
257	0.2404780373
258	0.2402862485
259	0.2400241877
260	0.239809746
261	0.2396995272
262	0.2395190934
263	0.2394117638
264	0.2393091919
265	0.2391049775
266	0.2390798945
267	0.2389250884
268	0.2387546356
269	0.2384599726
270	0.2381647893
271	0.2380835381
272	0.2379020171
273	0.2376192447
274	0.2375701404
275	0.2373317252
276	0.2370238025
277	0.2366895082
278	0.2364869288
279	0.2362809688
280	0.2360960917
281	0.23589954
282	0.2357640911
283	0.2354683244
284	0.235254614
285	0.2350221805
286	0.234926986
287	0.2347709715
288	0.2344432026
289	0.2343195646
290	0.2342144116
291	0.2340914648
292	0.2340088479
293	0.2338910212
294	0.2336673069
295	0.2335620058
296	0.2333181634
297	0.2330281624
298	0.2328719686
299	0.2328492334
300	0.2327038567
301	0.2325087105
302	0.2324432043
303	0.2323538535
304	0.2323076306
305	0.2321524001
306	0.2319440001
307	0.2318536161
308	0.231607318
309	0.2314566325
